         9327113 function calls (9308042 primitive calls) in 6.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    71/41    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
       46    0.000    0.000    0.018    0.000 dataclasses.py:1294(wrap)
       46    0.001    0.000    0.018    0.000 dataclasses.py:929(_process_class)
     1051    0.005    0.000    0.018    0.000 inspect.py:2369(_signature_from_function)
      136    0.000    0.000    0.018    0.000 _docstring.py:66(__call__)
  126/115    0.000    0.000    0.017    0.000 _docstring.py:107(__call__)
18868/18819    0.003    0.000    0.017    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.017    0.017 sharding_impls.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.016    0.016 discharge.py:1(<module>)
        2    0.000    0.000    0.016    0.008 __init__.py:326(__getattr__)
        1    0.000    0.000    0.016    0.016 pickle_util.py:1(<module>)
        1    0.000    0.000    0.015    0.015 art3d.py:1(<module>)
      847    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      922    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
  733/657    0.000    0.000    0.015    0.000 typing.py:426(inner)
        2    0.000    0.000    0.015    0.007 initializers.py:1(<module>)
        2    0.000    0.000    0.015    0.007 dispatch.py:1(<module>)
        2    0.000    0.000    0.015    0.007 profiler.py:1(<module>)
      232    0.000    0.000    0.014    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.014    0.014 defmatrix.py:1(<module>)
        3    0.000    0.000    0.014    0.005 random.py:1(<module>)
       11    0.000    0.000    0.014    0.001 _docstring.py:79(__missing__)
      976    0.001    0.000    0.014    0.000 __init__.py:715(__setitem__)
  480/232    0.001    0.000    0.014    0.000 _parser.py:451(_parse_sub)
        1    0.000    0.000    0.013    0.013 _linalg.py:1(<module>)
        1    0.000    0.000    0.013    0.013 lax.py:1(<module>)
  545/259    0.005    0.000    0.013    0.000 _parser.py:511(_parse)
        1    0.000    0.000    0.013    0.013 server.py:1(<module>)
      320    0.000    0.000    0.013    0.000 pjit.py:479(_make_jit_wrapper)
        1    0.000    0.000    0.013    0.013 axis.py:1(<module>)
